" Table 3s: Polynomial Expressions for cp(T) for Various Gases (SI)
  
 cp=a + bT + cT2 + dT3
[T in K, cp in kJ/(kmol·K)] 

http://www.wiley.com/college/moran/CL_0471465704_S/user/tables/TABLE3S/table3sframe.html",,,,,,,,
Name,Formula,a,b,c,d,Range [K],Max. erro [%],Avg. error [%]
Nitrogen,N2,28.9,-1.57E-03,8.08E-06,-2.87E-09,273-1800,0.59,0.34
Oxygen,O2,25.48,1.52E-02,-7.16E-06,1.31E-09,273-1800,1.19,0.28
Air,,28.11,1.97E-03,4.80E-06,-1.97E-09,273-1800,0.72,0.33
Hydrogen,H2,29.11,-1.92E-03,4.00E-06,-8.70E-10,273-1800,1.01,0.26
Carbon monoxide,CO,28.16,1.68E-03,5.37E-06,2.22E-09,273-1800,0.89,0.37
Carbon dioxide,CO2,22.26,5.98E-02,-3.50E-05,7.47E-09,273-1800,0.67,0.22
Water vapor,H2O,32.24,1.92E-03,1.06E-05,-3.60E-09,273-1800,0.53,0.24
Nitric oxide,NO,29.34,-9.40E-04,9.75E-06,-4.19E-09,273-1500,0.97,0.36
Nitrous oxide,N2O,24.11,5.86E-02,-3.56E-05,1.06E-08,273-1500,0.59,0.26
Nitrogen dioxide,NO2,22.9,5.72E-02,-3.52E-05,7.87E-09,273-1500,0.46,0.18
Ammonia,NH3,27.568,2.56E-02,9.91E-06,-6.69E-09,273-1500,0.91,0.36
Sulfur,S2,27.21,2.22E-02,-1.63E-05,3.99E-09,273-1800,0.99,0.38
Sulfur dioxide,SO2,25.78,5.80E-02,-3.81E-05,8.61E-09,273-1800,0.45,0.24
Sulfur trioxide,SO3,16.4,1.46E-01,-1.12E-04,3.24E-08,273-1300,0.29,0.13
Acetylene,C2H2,21.8,9.21E-02,-6.53E-05,1.82E-08,273-1500,1.46,0.59
Benzene,C6H6,-36.22,4.85E-01,-3.16E-04,7.76E-08,273-1500,0.34,0.2
Methanol,CH4O,19,9.15E-02,-1.22E-05,-8.04E-09,273-1000,0.18,0.08
Ethanol,C2H6O,19.9,2.10E-01,-1.04E-04,2.01E-08,273-1500,0.4,0.22
Hydrogen chloride,HCl,30.33,-7.62E-03,1.33E-05,-4.34E-09,273-1500,0.22,0.08
Methane,CH4,19.89,5.02E-02,1.27E-05,-1.10E-08,273-1500,1.33,0.57
Ethane,C2H6,6.9,1.73E-01,-6.41E-05,7.29E-09,273-1500,0.83,0.28
Propane,C3H8,-4.04,3.05E-01,-1.57E-04,3.17E-08,273-1500,0.4,0.12
n-Butane,C4H10,3.96,3.72E-01,-1.83E-04,3.50E-08,273-1500,0.54,0.24
i-Butane,C4H10,-7.913,4.16E-01,-2.30E-04,4.99E-08,273-1500,0.25,0.13
n-Pentane,C5H12,6.774,4.54E-01,-2.25E-02,4.23E-08,273-1500,0.56,0.21
n-Hexane,C6H14,6.938,5.52E-01,-2.87E-04,5.77E-08,273-1500,0.72,0.2
Ethylene,C2H4,3.95,1.56E-01,-8.34E-05,1.77E-08,273-1500,0.54,0.13
Propylene,C3H6,3.15,2.38E-01,-1.22E-04,2.46E-08,273-1500,0.73,0.17
,,,,,,,,
